id,slug,cat_name,category,image,prod_name,link,Collection,supplier,color,brand,pattern,plain,texture,geometric,Pattern,comtemporary,traditional,description,damasks,kids,commercial,mural,stripes,residential
59dfa8ff1df988133a8eabc9,,stockbridge,Stock Bridge,/images/stock_bridge/YW1480.jpg,YW1480,#,STOCKBRIDGE,YORK,BEIGE,PARK PLACE STUDIO,GOLD,,,,,,,"Lorem ipsum dolor sit amet, consectetur adipisicing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.",,,,,,
59dfa8ff1df988133a8eabca,,stockbridge,Stock Bridge,/images/stock_bridge/YW1426.jpg,YW1426,#,STOCKBRIDGE,YORK,BEIGE,PARK PLACE STUDIO,NA,,,,,,,"Lorem ipsum dolor sit amet, consectetur adipisicing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.",,,,,,
59dfa8ff1df988133a8eabcb,,stockbridge,Stock Bridge,/images/stock_bridge/YW1440.jpg,YW1440,#,STOCKBRIDGE,YORK,SILVER,PARK PLACE STUDIO,NA,,,,,,,"Lorem ipsum dolor sit amet, consectetur adipisicing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.",,,,,,
59dfa8ff1df988133a8eabcc,,stockbridge,Stock Bridge,/images/stock_bridge/YW1434.jpg,YW1434,#,STOCKBRIDGE,YORK,SILVER,PARK PLACE STUDIO,WHITE,,,,,,,"Lorem ipsum dolor sit amet, consectetur adipisicing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.",,,,,,
59dfa8ff1df988133a8eabcd,,stockbridge,Stock Bridge,/images/stock_bridge/YW1465.jpg,YW1465,#,STOCKBRIDGE,YORK,WHITE,PARK PLACE STUDIO,GREY,,,,,,,"Lorem ipsum dolor sit amet, consectetur adipisicing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.",,,,,,
59dfa8ff1df988133a8eabce,,stockbridge,Stock Bridge,/images/stock_bridge/YW1447.jpg,YW1447,#,STOCKBRIDGE,YORK,WHITE,PARK PLACE STUDIO,GREY,,,,,,,"Lorem ipsum dolor sit amet, consectetur adipisicing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.",,,,,,
59dfa8ff1df988133a8eabcf,,stockbridge,Stock Bridge,/images/stock_bridge/YW1457.jpg,YW1457,#,STOCKBRIDGE,YORK,WHITE,PARK PLACE STUDIO,BEIGE,,,,,,,"Lorem ipsum dolor sit amet, consectetur adipisicing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.",,,,,,
59dfa8ff1df988133a8eabd0,,stockbridge,Stock Bridge,/images/stock_bridge/YW1438.jpg,YW1438,#,STOCKBRIDGE,YORK,BROWN,PARK PLACE STUDIO,BEIGE,,,,,,,"Lorem ipsum dolor sit amet, consectetur adipisicing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.",,,,,,
59dfa8ff1df988133a8eabd1,,stockbridge,Stock Bridge,/images/stock_bridge/YW1450.jpg,YW1450,#,STOCKBRIDGE,YORK,GOLD,PARK PLACE STUDIO,BEIGE,,,,,,,"Lorem ipsum dolor sit amet, consectetur adipisicing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.",,,,,,
59dfa8ff1df988133a8eabd2,,stockbridge,Stock Bridge,/images/stock_bridge/YW1482.jpg,YW1482,#,STOCKBRIDGE,YORK,BEIGE,PARK PLACE STUDIO,PINK,,,,,,,"Lorem ipsum dolor sit amet, consectetur adipisicing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.",,,,,,
59dfa8ff1df988133a8eabd3,,stockbridge,Stock Bridge,/images/stock_bridge/YW1474.jpg,YW1474,#,STOCKBRIDGE,YORK,BEIGE,PARK PLACE STUDIO,PINK,,,,,,,"Lorem ipsum dolor sit amet, consectetur adipisicing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.",,,,,,
59dfa8ff1df988133a8eabd4,,stockbridge,Stock Bridge,/images/stock_bridge/YW1425.jpg,YW1425,#,STOCKBRIDGE,YORK,BEIGE,PARK PLACE STUDIO,WHITE,,,,,,,"Lorem ipsum dolor sit amet, consectetur adipisicing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.",,,,,,
59dfa8ff1df988133a8eabd5,,stockbridge,Stock Bridge,/images/stock_bridge/YW1433.jpg,YW1433,#,STOCKBRIDGE,YORK,BEIGE,PARK PLACE STUDIO,WHITE,,,,,,,"Lorem ipsum dolor sit amet, consectetur adipisicing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.",,,,,,
