id,slug,title,name,heading.one,heading.two,heading.three,image.one,image.two,image.three,image.four,image.five,content.one,content.two,content.three,content.four,content.five
59dc93a32d4fb1443330f9a2,who-we-are,Who We Are,whoweare,,,,../images/inner-banner.jpg,../images/who-we-are.jpg,,,,"ARTISAN Furnishings Pvt Ltd imports and distributes premier Wallcovering brands, and develops and markets a broad range of commercial grade quality products for the Hospitality Industry, Corporate Buildings and Residential Market manufactured by the world’s leading manufacturers located in USA,Europe and Japan. ARTISAN was established in the year 2003. Over the last two decades, the Artisan network expanded to other cities in India with a wide network of over 500 distributors and dealers across the country. We built a reputation for reliable service and wide product offering at an excellent price performance ratio. Wherever we do business, we take great pride in our commitment to meeting our customers’ unique demands with the utmost responsiveness, efficiency and courtesy. ARTISAN has dramatically enhanced the perception of both Vinyl and Paper Backed wallcoverings by making design the main focus.","The range of designs in our collections reflects current as well as future design trends. Our in-house curated collections feature hand picked designs chosen from top suppliers in Japan & the US for both the commercial as well as residential markets. Artisan provides interior solutions to architects, designers, contractors and facility managers. We continue to work with many high profile hotels, commercial buildings, restaurants, architects, designers and high-end residential customers throughout India providing beautiful colors, modern designs and amazing textures that enhance the beauty of the interiors. We carry a wide range of durable & sustainable wallcoverings that are Fire Retardant, Eco Friendly and confirm to the highest international Building Standards and Project Specifications. ARTISAN looks forward to building a strong sustainable relationship with our customers",,,
59dc94b7ec7335e033b5a0e5,our-vision,Our Vision,ourvision,,,,../images/inner-banner.jpg,../images/Designer-Damasks.jpg,,,,To import and distribute only the best quality of wallcoverings from reputed manufacturers across the world.,"To continuously add new products that reflects the latest trends in colour, texture and design.",To provide a professional level of service that ensures 100% customer satisfaction.,To be a responsible organization by promoting the use of Eco Friendly and Sustainable products,
59dc9666ec7335e033b5a0e6,our-brands,Our Brands,ourbrands,Our Partners,,,../images/inner-banner.jpg,../images/Designer-Damasks.jpg,../images/Brands-1024x207.jpg,,,"Artisan India wallpaper represents the finest brands in wall-covering. Each designer wallpaper brand celebrates a unique style for an inclusive collection of stunning wall fashion. Our wallpapers include everything from eccentric to traditional, with designers specializing in intriguing textured wallpaper and grasscloth, brands that bring a luxurious sheen to walls and timeless charms.","Artisanindia wallpaper represents the finest brands in wall-covering. Each designer wallpaper brand celebrates a unique style for an inclusive collection of stunning wall fashion. Our wallpapers include everything from eccentric to traditional, with designers specializing in intriguing textured wallpaper and grasscloth, brands that bring a luxurious sheen to walls and timeless charms.",,,
